op,component,layer,models
merge,mlp_down,39,"Light-IF-32B:39,MedGo:39,T-pro-it-2.0:39"
merge,mlp_gate,39,"Light-IF-32B:39,MedGo:39,T-pro-it-2.0:39"
merge,mlp_up,39,"Light-IF-32B:39,MedGo:39,T-pro-it-2.0:39"
merge,mlp_down,41,"Light-IF-32B:41,MedGo:41,T-pro-it-2.0:41"
merge,mlp_gate,41,"Light-IF-32B:41,MedGo:41,T-pro-it-2.0:41"
merge,mlp_up,41,"Light-IF-32B:41,MedGo:41,T-pro-it-2.0:41"
merge,mlp_down,44,"Light-IF-32B:44,MedGo:44,T-pro-it-2.0:44"
merge,mlp_gate,44,"Light-IF-32B:44,MedGo:44,T-pro-it-2.0:44"
merge,mlp_up,44,"Light-IF-32B:44,MedGo:44,T-pro-it-2.0:44"
merge,mlp_down,46,"Light-IF-32B:46,MedGo:46,T-pro-it-2.0:46"
merge,mlp_gate,46,"Light-IF-32B:46,MedGo:46,T-pro-it-2.0:46"
merge,mlp_up,46,"Light-IF-32B:46,MedGo:46,T-pro-it-2.0:46"
merge,mlp_down,48,"Light-IF-32B:48,MedGo:48,T-pro-it-2.0:48"
merge,mlp_gate,48,"Light-IF-32B:48,MedGo:48,T-pro-it-2.0:48"
merge,mlp_up,48,"Light-IF-32B:48,MedGo:48,T-pro-it-2.0:48"
merge,mlp_down,50,"Light-IF-32B:50,MedGo:50,T-pro-it-2.0:50"
merge,mlp_gate,50,"Light-IF-32B:50,MedGo:50,T-pro-it-2.0:50"
merge,mlp_up,50,"Light-IF-32B:50,MedGo:50,T-pro-it-2.0:50"
merge,mlp_down,52,"Light-IF-32B:52,MedGo:52,T-pro-it-2.0:52"
merge,mlp_gate,52,"Light-IF-32B:52,MedGo:52,T-pro-it-2.0:52"
merge,mlp_up,52,"Light-IF-32B:52,MedGo:52,T-pro-it-2.0:52"
merge,mlp_down,55,"Light-IF-32B:55,MedGo:55,T-pro-it-2.0:55"
merge,mlp_gate,55,"Light-IF-32B:55,MedGo:55,T-pro-it-2.0:55"
merge,mlp_up,55,"Light-IF-32B:55,MedGo:55,T-pro-it-2.0:55"
merge,mlp_down,57,"Light-IF-32B:57,MedGo:57,T-pro-it-2.0:57"
merge,mlp_gate,57,"Light-IF-32B:57,MedGo:57,T-pro-it-2.0:57"
merge,mlp_up,57,"Light-IF-32B:57,MedGo:57,T-pro-it-2.0:57"
merge,mlp_down,59,"Light-IF-32B:59,MedGo:59,T-pro-it-2.0:59"
merge,mlp_gate,59,"Light-IF-32B:59,MedGo:59,T-pro-it-2.0:59"
merge,mlp_up,59,"Light-IF-32B:59,MedGo:59,T-pro-it-2.0:59"
merge,mlp_down,63,"Light-IF-32B:63,MedGo:63,T-pro-it-2.0:63"
merge,mlp_gate,63,"Light-IF-32B:63,MedGo:63,T-pro-it-2.0:63"
merge,mlp_up,63,"Light-IF-32B:63,MedGo:63,T-pro-it-2.0:63"
merge,mlp_down,61,"Light-IF-32B:61,MedGo:61,T-pro-it-2.0:61"
merge,mlp_gate,61,"Light-IF-32B:61,MedGo:61"
merge,mlp_up,61,"Light-IF-32B:61,MedGo:61,T-pro-it-2.0:61"
merge,mlp_down,5,"Light-IF-32B:5,T-pro-it-2.0:5"
merge,mlp_gate,5,"Light-IF-32B:5,T-pro-it-2.0:5"
merge,mlp_up,5,"Light-IF-32B:5,T-pro-it-2.0:5"
merge,mlp_down,0,"Light-IF-32B:0,MedGo:0"
merge,mlp_gate,0,"Light-IF-32B:0,MedGo:0"
merge,mlp_up,0,"Light-IF-32B:0,MedGo:0"
merge,mlp_down,32,"Light-IF-32B:32,T-pro-it-2.0:32"
merge,mlp_gate,32,"Light-IF-32B:32,T-pro-it-2.0:32"
merge,mlp_up,32,"Light-IF-32B:32,T-pro-it-2.0:32"
merge,mlp_down,34,"Light-IF-32B:34,T-pro-it-2.0:34"
merge,mlp_gate,34,"Light-IF-32B:34,T-pro-it-2.0:34"
merge,mlp_up,34,"Light-IF-32B:34,T-pro-it-2.0:34"
merge,mlp_down,36,"Light-IF-32B:36,T-pro-it-2.0:36"
merge,mlp_gate,36,"Light-IF-32B:36,T-pro-it-2.0:36"
merge,mlp_up,36,"Light-IF-32B:36,T-pro-it-2.0:36"
merge,mlp_down,16,"Light-IF-32B:16,MedGo:16,T-pro-it-2.0:16"
merge,mlp_gate,16,"Light-IF-32B:16,MedGo:16,T-pro-it-2.0:16"
merge,mlp_up,16,"Light-IF-32B:16,MedGo:16,T-pro-it-2.0:16"
merge,mlp_down,14,"Light-IF-32B:14,MedGo:14,T-pro-it-2.0:14"
merge,mlp_gate,14,"Light-IF-32B:14,MedGo:14,T-pro-it-2.0:14"
merge,mlp_up,14,"Light-IF-32B:14,MedGo:14,T-pro-it-2.0:14"
merge,mlp_down,18,"Light-IF-32B:18,MedGo:18,T-pro-it-2.0:18"
merge,mlp_gate,18,"Light-IF-32B:18,MedGo:18,T-pro-it-2.0:18"
merge,mlp_up,18,"Light-IF-32B:18,MedGo:18,T-pro-it-2.0:18"
merge,mlp_down,20,"Light-IF-32B:20,MedGo:20,T-pro-it-2.0:20"
merge,mlp_gate,20,"Light-IF-32B:20,MedGo:20,T-pro-it-2.0:20"
merge,mlp_up,20,"Light-IF-32B:20,MedGo:20,T-pro-it-2.0:20"
merge,mlp_down,10,"Light-IF-32B:10,MedGo:10,T-pro-it-2.0:10"
merge,mlp_gate,10,"Light-IF-32B:10,MedGo:10,T-pro-it-2.0:10"
merge,mlp_up,10,"Light-IF-32B:10,MedGo:10,T-pro-it-2.0:10"
merge,mlp_down,22,"Light-IF-32B:22,MedGo:22,T-pro-it-2.0:22"
merge,mlp_gate,22,"Light-IF-32B:22,MedGo:22,T-pro-it-2.0:22"
merge,mlp_up,22,"Light-IF-32B:22,MedGo:22,T-pro-it-2.0:22"
merge,mlp_down,27,"Light-IF-32B:27,MedGo:27,T-pro-it-2.0:27"
merge,mlp_gate,27,"Light-IF-32B:27,MedGo:27,T-pro-it-2.0:27"
merge,mlp_up,27,"Light-IF-32B:27,MedGo:27,T-pro-it-2.0:27"
merge,mlp_down,2,"Light-IF-32B:2,MedGo:2,T-pro-it-2.0:2"
merge,mlp_gate,2,"Light-IF-32B:2,MedGo:2,T-pro-it-2.0:2"
merge,mlp_up,2,"Light-IF-32B:2,MedGo:2,T-pro-it-2.0:2"
merge,mlp_down,29,"Light-IF-32B:29,MedGo:29,T-pro-it-2.0:29"
merge,mlp_gate,29,"Light-IF-32B:29,MedGo:29,T-pro-it-2.0:29"
merge,mlp_up,29,"Light-IF-32B:29,MedGo:29,T-pro-it-2.0:29"
merge,mlp_down,31,"Light-IF-32B:31,MedGo:31,T-pro-it-2.0:31"
merge,mlp_gate,31,"Light-IF-32B:31,MedGo:31,T-pro-it-2.0:31"
merge,mlp_up,31,"Light-IF-32B:31,MedGo:31,T-pro-it-2.0:31"
merge,mlp_down,42,"Light-IF-32B:42,MedGo:42,T-pro-it-2.0:42"
merge,mlp_gate,42,"Light-IF-32B:42,MedGo:42,T-pro-it-2.0:42"
merge,mlp_up,42,"Light-IF-32B:42,MedGo:42,T-pro-it-2.0:42"
merge,mlp_down,45,"Light-IF-32B:45,MedGo:45,T-pro-it-2.0:45"
merge,mlp_gate,45,"Light-IF-32B:45,MedGo:45,T-pro-it-2.0:45"
merge,mlp_up,45,"Light-IF-32B:45,MedGo:45,T-pro-it-2.0:45"
merge,mlp_down,47,"Light-IF-32B:47,MedGo:47,T-pro-it-2.0:47"
merge,mlp_gate,47,"Light-IF-32B:47,MedGo:47,T-pro-it-2.0:47"
merge,mlp_up,47,"Light-IF-32B:47,MedGo:47,T-pro-it-2.0:47"
merge,mlp_down,51,"Light-IF-32B:51,MedGo:51,T-pro-it-2.0:51"
merge,mlp_gate,51,"Light-IF-32B:51,MedGo:51,T-pro-it-2.0:51"
merge,mlp_up,51,"Light-IF-32B:51,MedGo:51,T-pro-it-2.0:51"
merge,mlp_down,56,"Light-IF-32B:56,MedGo:56,T-pro-it-2.0:56"
merge,mlp_gate,56,"Light-IF-32B:56,MedGo:56,T-pro-it-2.0:56"
merge,mlp_up,56,"Light-IF-32B:56,MedGo:56,T-pro-it-2.0:56"
merge,mlp_down,58,"Light-IF-32B:58,MedGo:58,T-pro-it-2.0:58"
merge,mlp_gate,58,"Light-IF-32B:58,MedGo:58,T-pro-it-2.0:58"
merge,mlp_up,58,"Light-IF-32B:58,MedGo:58,T-pro-it-2.0:58"
merge,mlp_down,60,"Light-IF-32B:60,MedGo:60,T-pro-it-2.0:60"
merge,mlp_gate,60,"Light-IF-32B:60,MedGo:60,T-pro-it-2.0:60"
merge,mlp_up,60,"Light-IF-32B:60,MedGo:60,T-pro-it-2.0:60"
merge,mlp_down,12,"Light-IF-32B:12,MedGo:12,T-pro-it-2.0:12"
merge,mlp_gate,12,"Light-IF-32B:12,MedGo:12"
merge,mlp_up,12,"Light-IF-32B:12,MedGo:12,T-pro-it-2.0:12"
merge,mlp_down,9,"Light-IF-32B:9,MedGo:9,T-pro-it-2.0:9"
merge,mlp_gate,9,"Light-IF-32B:9,MedGo:9"
merge,mlp_up,9,"Light-IF-32B:9,MedGo:9,T-pro-it-2.0:9"
merge,mlp_down,23,"Light-IF-32B:23,MedGo:23,T-pro-it-2.0:23"
merge,mlp_gate,23,"Light-IF-32B:23,MedGo:23"
merge,mlp_up,23,"Light-IF-32B:23,MedGo:23,T-pro-it-2.0:23"
merge,mlp_down,25,"Light-IF-32B:25,MedGo:25,T-pro-it-2.0:25"
merge,mlp_gate,25,"Light-IF-32B:25,MedGo:25"
merge,mlp_up,25,"Light-IF-32B:25,MedGo:25,T-pro-it-2.0:25"
merge,mlp_down,53,"Light-IF-32B:53,MedGo:53,T-pro-it-2.0:53"
merge,mlp_gate,53,"Light-IF-32B:53,MedGo:53"
merge,mlp_up,53,"Light-IF-32B:53,MedGo:53,T-pro-it-2.0:53"
merge,mlp_down,54,"Light-IF-32B:54,MedGo:54,T-pro-it-2.0:54"
merge,mlp_gate,54,"Light-IF-32B:54,MedGo:54"
merge,mlp_up,54,"Light-IF-32B:54,MedGo:54,T-pro-it-2.0:54"
merge,mlp_down,7,"Light-IF-32B:7,T-pro-it-2.0:7"
merge,mlp_gate,7,"Light-IF-32B:7,T-pro-it-2.0:7"
merge,mlp_up,7,"Light-IF-32B:7,T-pro-it-2.0:7"
merge,mlp_down,33,"Light-IF-32B:33,T-pro-it-2.0:33"
merge,mlp_gate,33,"Light-IF-32B:33,T-pro-it-2.0:33"
merge,mlp_up,33,"Light-IF-32B:33,T-pro-it-2.0:33"
merge,mlp_down,35,"Light-IF-32B:35,T-pro-it-2.0:35"
merge,mlp_gate,35,"Light-IF-32B:35,T-pro-it-2.0:35"
merge,mlp_up,35,"Light-IF-32B:35,T-pro-it-2.0:35"
merge,mlp_down,62,"Light-IF-32B:62,MedGo:62"
merge,mlp_gate,62,"Light-IF-32B:62,MedGo:62"
merge,mlp_up,62,"Light-IF-32B:62,MedGo:62"
merge,attn_k,14,"Light-IF-32B:14,MedGo:14,T-pro-it-2.0:14"
merge,attn_o,14,"Light-IF-32B:14,MedGo:14,T-pro-it-2.0:14"
merge,attn_q,14,"Light-IF-32B:14,MedGo:14,T-pro-it-2.0:14"
merge,attn_v,14,"Light-IF-32B:14,MedGo:14,T-pro-it-2.0:14"
merge,attn_k,19,"Light-IF-32B:19,MedGo:19,T-pro-it-2.0:19"
merge,attn_o,19,"Light-IF-32B:19,MedGo:19,T-pro-it-2.0:19"
merge,attn_q,19,"Light-IF-32B:19,MedGo:19,T-pro-it-2.0:19"
merge,attn_v,19,"Light-IF-32B:19,MedGo:19,T-pro-it-2.0:19"
merge,attn_k,21,"Light-IF-32B:21,MedGo:21,T-pro-it-2.0:21"
merge,attn_o,21,"Light-IF-32B:21,MedGo:21,T-pro-it-2.0:21"
merge,attn_q,21,"Light-IF-32B:21,MedGo:21,T-pro-it-2.0:21"
merge,attn_v,21,"Light-IF-32B:21,MedGo:21,T-pro-it-2.0:21"
merge,attn_k,9,"Light-IF-32B:9,MedGo:9,T-pro-it-2.0:9"
merge,attn_o,9,"Light-IF-32B:9,MedGo:9,T-pro-it-2.0:9"
merge,attn_q,9,"Light-IF-32B:9,MedGo:9,T-pro-it-2.0:9"
merge,attn_v,9,"Light-IF-32B:9,MedGo:9,T-pro-it-2.0:9"
merge,attn_k,7,"Light-IF-32B:7,MedGo:7,T-pro-it-2.0:7"
merge,attn_o,7,"Light-IF-32B:7,MedGo:7,T-pro-it-2.0:7"
merge,attn_q,7,"Light-IF-32B:7,MedGo:7,T-pro-it-2.0:7"
merge,attn_v,7,"Light-IF-32B:7,MedGo:7,T-pro-it-2.0:7"
merge,attn_k,5,"Light-IF-32B:5,MedGo:5,T-pro-it-2.0:5"
merge,attn_o,5,"Light-IF-32B:5,MedGo:5,T-pro-it-2.0:5"
merge,attn_q,5,"Light-IF-32B:5,MedGo:5,T-pro-it-2.0:5"
merge,attn_v,5,"Light-IF-32B:5,MedGo:5,T-pro-it-2.0:5"
merge,attn_k,26,"Light-IF-32B:26,MedGo:26,T-pro-it-2.0:26"
merge,attn_o,26,"Light-IF-32B:26,MedGo:26,T-pro-it-2.0:26"
merge,attn_q,26,"Light-IF-32B:26,MedGo:26,T-pro-it-2.0:26"
merge,attn_v,26,"Light-IF-32B:26,MedGo:26,T-pro-it-2.0:26"
merge,attn_k,3,"Light-IF-32B:3,MedGo:3,T-pro-it-2.0:3"
merge,attn_o,3,"Light-IF-32B:3,MedGo:3,T-pro-it-2.0:3"
merge,attn_q,3,"Light-IF-32B:3,MedGo:3,T-pro-it-2.0:3"
merge,attn_v,3,"Light-IF-32B:3,MedGo:3,T-pro-it-2.0:3"
merge,attn_k,29,"Light-IF-32B:29,MedGo:29,T-pro-it-2.0:29"
merge,attn_o,29,"Light-IF-32B:29,MedGo:29,T-pro-it-2.0:29"
merge,attn_q,29,"Light-IF-32B:29,MedGo:29,T-pro-it-2.0:29"
merge,attn_v,29,"Light-IF-32B:29,MedGo:29,T-pro-it-2.0:29"
merge,attn_k,1,"Light-IF-32B:1,MedGo:1,T-pro-it-2.0:1"
merge,attn_o,1,"Light-IF-32B:1,MedGo:1,T-pro-it-2.0:1"
merge,attn_q,1,"Light-IF-32B:1,MedGo:1,T-pro-it-2.0:1"
merge,attn_v,1,"Light-IF-32B:1,MedGo:1,T-pro-it-2.0:1"
merge,attn_k,31,"Light-IF-32B:31,MedGo:31,T-pro-it-2.0:31"
merge,attn_o,31,"Light-IF-32B:31,MedGo:31,T-pro-it-2.0:31"
merge,attn_q,31,"Light-IF-32B:31,MedGo:31,T-pro-it-2.0:31"
merge,attn_v,31,"Light-IF-32B:31,MedGo:31,T-pro-it-2.0:31"
merge,attn_k,36,"Light-IF-32B:36,MedGo:36,T-pro-it-2.0:36"
merge,attn_o,36,"Light-IF-32B:36,MedGo:36,T-pro-it-2.0:36"
merge,attn_q,36,"Light-IF-32B:36,MedGo:36,T-pro-it-2.0:36"
merge,attn_v,36,"Light-IF-32B:36,MedGo:36,T-pro-it-2.0:36"
merge,attn_k,41,"Light-IF-32B:41,MedGo:41,T-pro-it-2.0:41"
merge,attn_o,41,"Light-IF-32B:41,MedGo:41,T-pro-it-2.0:41"
merge,attn_q,41,"Light-IF-32B:41,MedGo:41,T-pro-it-2.0:41"
merge,attn_v,41,"Light-IF-32B:41,MedGo:41,T-pro-it-2.0:41"
merge,attn_k,44,"Light-IF-32B:44,MedGo:44,T-pro-it-2.0:44"
merge,attn_o,44,"Light-IF-32B:44,MedGo:44,T-pro-it-2.0:44"
merge,attn_q,44,"Light-IF-32B:44,MedGo:44,T-pro-it-2.0:44"
merge,attn_v,44,"Light-IF-32B:44,MedGo:44,T-pro-it-2.0:44"
merge,attn_k,52,"Light-IF-32B:52,MedGo:52,T-pro-it-2.0:52"
merge,attn_o,52,"Light-IF-32B:52,MedGo:52,T-pro-it-2.0:52"
merge,attn_q,52,"Light-IF-32B:52,MedGo:52,T-pro-it-2.0:52"
merge,attn_v,52,"Light-IF-32B:52,MedGo:52,T-pro-it-2.0:52"
merge,attn_k,56,"Light-IF-32B:56,MedGo:56,T-pro-it-2.0:56"
merge,attn_o,56,"Light-IF-32B:56,MedGo:56,T-pro-it-2.0:56"
merge,attn_q,56,"Light-IF-32B:56,MedGo:56,T-pro-it-2.0:56"
merge,attn_v,56,"Light-IF-32B:56,MedGo:56,T-pro-it-2.0:56"
merge,attn_k,58,"Light-IF-32B:58,MedGo:58,T-pro-it-2.0:58"
merge,attn_o,58,"Light-IF-32B:58,MedGo:58,T-pro-it-2.0:58"
merge,attn_q,58,"Light-IF-32B:58,MedGo:58,T-pro-it-2.0:58"
merge,attn_v,58,"Light-IF-32B:58,MedGo:58,T-pro-it-2.0:58"
merge,attn_k,23,"Light-IF-32B:23,MedGo:23"
merge,attn_o,23,"Light-IF-32B:23,MedGo:23,T-pro-it-2.0:23"
merge,attn_q,23,"Light-IF-32B:23,MedGo:23,T-pro-it-2.0:23"
merge,attn_v,23,"Light-IF-32B:23,MedGo:23,T-pro-it-2.0:23"
merge,attn_k,33,"Light-IF-32B:33,MedGo:33,T-pro-it-2.0:33"
merge,attn_o,33,"Light-IF-32B:33,MedGo:33"
merge,attn_q,33,"Light-IF-32B:33,MedGo:33,T-pro-it-2.0:33"
merge,attn_v,33,"Light-IF-32B:33,MedGo:33,T-pro-it-2.0:33"
merge,attn_k,38,"Light-IF-32B:38,MedGo:38,T-pro-it-2.0:38"
merge,attn_o,38,"Light-IF-32B:38,MedGo:38"
merge,attn_q,38,"Light-IF-32B:38,MedGo:38,T-pro-it-2.0:38"
merge,attn_v,38,"Light-IF-32B:38,MedGo:38,T-pro-it-2.0:38"
merge,attn_k,46,"Light-IF-32B:46,MedGo:46"
merge,attn_o,46,"Light-IF-32B:46,MedGo:46,T-pro-it-2.0:46"
merge,attn_q,46,"Light-IF-32B:46,MedGo:46,T-pro-it-2.0:46"
merge,attn_v,46,"Light-IF-32B:46,MedGo:46,T-pro-it-2.0:46"
merge,attn_k,48,"Light-IF-32B:48,MedGo:48,T-pro-it-2.0:48"
merge,attn_o,48,"Light-IF-32B:48,MedGo:48,T-pro-it-2.0:48"
merge,attn_q,48,"Light-IF-32B:48,MedGo:48,T-pro-it-2.0:48"
merge,attn_v,48,"Light-IF-32B:48,MedGo:48"
merge,attn_k,17,"Light-IF-32B:17,MedGo:17"
merge,attn_o,17,"Light-IF-32B:17,MedGo:17"
merge,attn_q,17,"Light-IF-32B:17,MedGo:17,T-pro-it-2.0:17"
merge,attn_v,17,"Light-IF-32B:17,MedGo:17,T-pro-it-2.0:17"
merge,attn_k,12,"Light-IF-32B:12,MedGo:12,T-pro-it-2.0:12"
merge,attn_o,12,"Light-IF-32B:12,MedGo:12"
merge,attn_q,12,"Light-IF-32B:12,MedGo:12,T-pro-it-2.0:12"
merge,attn_v,12,"Light-IF-32B:12,MedGo:12"
merge,attn_k,50,"Light-IF-32B:50,MedGo:50,T-pro-it-2.0:50"
merge,attn_o,50,"Light-IF-32B:50,MedGo:50"
merge,attn_q,50,"Light-IF-32B:50,MedGo:50,T-pro-it-2.0:50"
merge,attn_v,50,"Light-IF-32B:50,MedGo:50"
merge,attn_k,54,"Light-IF-32B:54,MedGo:54"
merge,attn_o,54,"Light-IF-32B:54,MedGo:54,T-pro-it-2.0:54"
merge,attn_q,54,"Light-IF-32B:54,MedGo:54"
merge,attn_v,54,"Light-IF-32B:54,MedGo:54,T-pro-it-2.0:54"
merge,attn_k,60,"Light-IF-32B:60,MedGo:60"
merge,attn_o,60,"Light-IF-32B:60,MedGo:60"
merge,attn_q,60,"Light-IF-32B:60,MedGo:60,T-pro-it-2.0:60"
merge,attn_v,60,"Light-IF-32B:60,MedGo:60,T-pro-it-2.0:60"
merge,attn_k,62,"Light-IF-32B:62,MedGo:62,T-pro-it-2.0:62"
merge,attn_o,62,"Light-IF-32B:62,MedGo:62,T-pro-it-2.0:62"
merge,attn_q,62,"Light-IF-32B:62,MedGo:62"
merge,attn_v,62,"Light-IF-32B:62,MedGo:62"
merge,attn_k,13,"Light-IF-32B:13,MedGo:13,T-pro-it-2.0:13"
merge,attn_o,13,"Light-IF-32B:13,MedGo:13,T-pro-it-2.0:13"
merge,attn_q,13,"Light-IF-32B:13,MedGo:13,T-pro-it-2.0:13"
merge,attn_v,13,"Light-IF-32B:13,MedGo:13,T-pro-it-2.0:13"
merge,attn_k,20,"Light-IF-32B:20,MedGo:20,T-pro-it-2.0:20"
merge,attn_o,20,"Light-IF-32B:20,MedGo:20,T-pro-it-2.0:20"
merge,attn_q,20,"Light-IF-32B:20,MedGo:20,T-pro-it-2.0:20"
merge,attn_v,20,"Light-IF-32B:20,MedGo:20,T-pro-it-2.0:20"
merge,attn_k,22,"Light-IF-32B:22,MedGo:22,T-pro-it-2.0:22"
merge,attn_o,22,"Light-IF-32B:22,MedGo:22,T-pro-it-2.0:22"
merge,attn_q,22,"Light-IF-32B:22,MedGo:22,T-pro-it-2.0:22"
merge,attn_v,22,"Light-IF-32B:22,MedGo:22,T-pro-it-2.0:22"
merge,attn_k,8,"Light-IF-32B:8,MedGo:8,T-pro-it-2.0:8"
merge,attn_o,8,"Light-IF-32B:8,MedGo:8,T-pro-it-2.0:8"
merge,attn_q,8,"Light-IF-32B:8,MedGo:8,T-pro-it-2.0:8"
merge,attn_v,8,"Light-IF-32B:8,MedGo:8,T-pro-it-2.0:8"
merge,attn_k,6,"Light-IF-32B:6,MedGo:6,T-pro-it-2.0:6"
merge,attn_o,6,"Light-IF-32B:6,MedGo:6,T-pro-it-2.0:6"
merge,attn_q,6,"Light-IF-32B:6,MedGo:6,T-pro-it-2.0:6"
merge,attn_v,6,"Light-IF-32B:6,MedGo:6,T-pro-it-2.0:6"
merge,attn_k,4,"Light-IF-32B:4,MedGo:4,T-pro-it-2.0:4"
merge,attn_o,4,"Light-IF-32B:4,MedGo:4,T-pro-it-2.0:4"
merge,attn_q,4,"Light-IF-32B:4,MedGo:4,T-pro-it-2.0:4"
merge,attn_v,4,"Light-IF-32B:4,MedGo:4,T-pro-it-2.0:4"
merge,attn_k,2,"Light-IF-32B:2,MedGo:2,T-pro-it-2.0:2"
merge,attn_o,2,"Light-IF-32B:2,MedGo:2,T-pro-it-2.0:2"
merge,attn_q,2,"Light-IF-32B:2,MedGo:2,T-pro-it-2.0:2"
merge,attn_v,2,"Light-IF-32B:2,MedGo:2,T-pro-it-2.0:2"
merge,attn_k,30,"Light-IF-32B:30,MedGo:30,T-pro-it-2.0:30"
merge,attn_o,30,"Light-IF-32B:30,MedGo:30,T-pro-it-2.0:30"
merge,attn_q,30,"Light-IF-32B:30,MedGo:30,T-pro-it-2.0:30"
merge,attn_v,30,"Light-IF-32B:30,MedGo:30,T-pro-it-2.0:30"
merge,attn_k,0,"Light-IF-32B:0,MedGo:0,T-pro-it-2.0:0"
merge,attn_o,0,"Light-IF-32B:0,MedGo:0,T-pro-it-2.0:0"
merge,attn_q,0,"Light-IF-32B:0,MedGo:0,T-pro-it-2.0:0"
merge,attn_v,0,"Light-IF-32B:0,MedGo:0,T-pro-it-2.0:0"
merge,attn_k,45,"Light-IF-32B:45,MedGo:45,T-pro-it-2.0:45"
merge,attn_o,45,"Light-IF-32B:45,MedGo:45,T-pro-it-2.0:45"
merge,attn_q,45,"Light-IF-32B:45,MedGo:45,T-pro-it-2.0:45"
merge,attn_v,45,"Light-IF-32B:45,MedGo:45,T-pro-it-2.0:45"
merge,attn_k,15,"Light-IF-32B:15,MedGo:15,T-pro-it-2.0:15"
merge,attn_o,15,"Light-IF-32B:15,MedGo:15,T-pro-it-2.0:15"
merge,attn_q,15,"Light-IF-32B:15,MedGo:15,T-pro-it-2.0:15"
merge,attn_v,15,"Light-IF-32B:15,MedGo:15"
merge,attn_k,25,"Light-IF-32B:25,MedGo:25,T-pro-it-2.0:25"
merge,attn_o,25,"Light-IF-32B:25,MedGo:25"
merge,attn_q,25,"Light-IF-32B:25,MedGo:25,T-pro-it-2.0:25"
merge,attn_v,25,"Light-IF-32B:25,MedGo:25,T-pro-it-2.0:25"
merge,attn_k,27,"Light-IF-32B:27,MedGo:27,T-pro-it-2.0:27"
merge,attn_o,27,"Light-IF-32B:27,MedGo:27"
merge,attn_q,27,"Light-IF-32B:27,MedGo:27,T-pro-it-2.0:27"
merge,attn_v,27,"Light-IF-32B:27,MedGo:27,T-pro-it-2.0:27"
merge,attn_k,28,"Light-IF-32B:28,MedGo:28,T-pro-it-2.0:28"
